Carroña , 3788 , 2741
Enredadera , 3484 , 694
Enredadera , 3492 , 658
Madera , 3434 , 701
Yesca , 3582 , 705
HI , 3960 , 1077
HS , 3444 , 1597
HS , 3596 , 1539
HS , 3022 , 1872
LI , 3276 , 1774
Yesca , 2720 , 2009
Enredadera , 2670 , 1752
Madera , 2384 , 1890
Madera , 2364 , 1890
Madera , 2364 , 1876
Yesca , 1844 , 1562
Hueso , 1850 , 1639
LS , 2186 , 1529
Carroña , 2600 , 1021
Lobo , 2404 , 1009
Yesca , 2048 , 928
Madera , 2026 , 950
Enredadera , 1878 , 1012
Enredadera , 1830 , 1026
Madera , 1706 , 1093
Lobo , 1856 , 1113
Lobo , 2126 , 1034
Lobo , 2210 , 1397
Lobo , 2094 , 1280
Madera , 2762 , 1040
Enredadera , 2566 , 934
Hueso , 2742 , 1108
Yesca , 3736 , 2115
HS , 4732 , 2940
HS , 5258 , 2780
Lobo , 3812 , 2841
Carroña , 3788 , 2741
Madera , 4030 , 2689
Enredadera , 4634 , 2855
Enredadera , 5114 , 2227
