
HS , 7626 , 8478
ArbolF , 8232 , 8256
HS , 7832 , 8078
HS , 7832 , 8026
HS , 7480 , 7667
HS , 7448 , 7611
ArbolF , 7568 , 7051
Carroña , 8904 , 7274
ArbolF , 9378 , 7258
ArbolF , 9174 , 6632
Escondite , 8550 , 6326
Escondite , 7306 , 5553
ArbolF , 9560 , 4445
ArbolF , 9258 , 4054
Carroña , 9204 , 3687
ArbolF , 9936 , 3342
ArbolF , 10410 , 3604
Cabania , 10145 , 4171
Escondite , 6658 , 5048
Cabania , 5959 , 6574
TrampaCerrada , 6312 , 6789
Yesca , 6312 , 6857
LI , 5454 , 6978
HS , 6752 , 6403
HS , 6738 , 6282
ArbolF , 7182 , 6084
HS , 6676 , 5817
LS , 7024 , 6034
ArbolF , 5846 , 4527
Enredadera , 4704 , 4268
ArbolF , 4484 , 3291
Arbol , 5092 , 3575
Arbol , 5046 , 3597
Arbol , 5014 , 3648
Arbol , 5012 , 3619
Arbol , 5118 , 3550
Arbol , 4992 , 3663
Arbol , 4956 , 3682
Arbol , 4362 , 4009
Arbol , 4462 , 3989
Arbol , 4414 , 3987
Arbol , 4542 , 3968
Arbol , 4510 , 3968
Arbol , 4618 , 3928
Arbol , 4620 , 3986
Arbol , 4594 , 3946
Arbol , 4680 , 3907
Arbol , 4722 , 3886
Arbol , 4394 , 4026
TrampaCerrada , 10472 , 4384
Madera , 10488 , 4474
HS , 9344 , 4795
HS , 8726 , 5045
Escondite , 5208 , 8040
Arbol , 4500 , 8611
Yesca , 4034 , 8889
ArbolF , 3188 , 7016
ArbolF , 3188 , 7016
Escondite , 3358 , 7283
Escondite , 3210 , 6683
Enredadera , 1648 , 6816
Enredadera , 1922 , 7020
Escondite , 4462 , 7174
Arbol , 4440 , 6139
LS , 5388 , 6464
LI , 4844 , 6181
HS , 5204 , 5582
HS , 5304 , 5477
ArbolF , 5442 , 4919
Escondite , 4110 , 3397
Escondite , 4414 , 2785
HS , 5058 , 2822
HS , 5250 , 2729
Madera , 2826 , 4179
Madera , 1714 , 4444
Yesca , 1700 , 3988
Yesca , 2440 , 5088
Madera , 2618 , 5067
Enredadera , 2514 , 4949
ArbolF , 2468 , 3310
Carroña , 1926 , 1151
Cabania , 1583 , 1216
Arbol , 2482 , 668
Arbol , 2512 , 686
Arbol , 2512 , 714
Arbol , 2512 , 738
Arbol , 2512 , 768
Arbol , 2526 , 793
Arbol , 2534 , 823
Arbol , 2544 , 845
Arbol , 2554 , 865
Arbol , 2562 , 887
Arbol , 2572 , 913
Arbol , 2586 , 943
Arbol , 2610 , 977
Arbol , 2640 , 1013
Arbol , 2660 , 1043
Arbol , 2688 , 1076
Arbol , 2730 , 1094
Arbol , 2748 , 1124
Arbol , 2766 , 1170
Arbol , 2754 , 1155
Arbol , 2788 , 1188
Arbol , 2798 , 1210
Arbol , 2776 , 1255
Arbol , 2808 , 1232
Arbol , 3168 , 1180
Arbol , 3182 , 1158
Arbol , 3176 , 1138
Arbol , 3170 , 1112
Arbol , 3162 , 1098
Arbol , 3154 , 1078
Arbol , 3150 , 1056
Arbol , 3142 , 1034
Arbol , 3136 , 1008
Arbol , 3140 , 984
Arbol , 3130 , 956
Arbol , 3138 , 938
Arbol , 3146 , 902
Arbol , 3154 , 880
Arbol , 3164 , 846
Arbol , 3174 , 824
Arbol , 3182 , 810
Arbol , 3296 , 1009
Arbol , 3282 , 913
Arbol , 3374 , 1093
Arbol , 2482 , 727
Arbol , 2434 , 727
Arbol , 2474 , 803
Arbol , 2432 , 824
Arbol , 2388 , 896
Arbol , 2530 , 944
Arbol , 2478 , 989
Arbol , 2534 , 1051
Arbol , 2638 , 1130
Arbol , 2674 , 1163
Arbol , 2526 , 1123
Arbol , 2410 , 1093
Arbol , 2358 , 1007
Arbol , 2296 , 727
Arbol , 2212 , 676
Arbol , 2332 , 816
Arbol , 3284 , 1112
Arbol , 3230 , 967
Arbol , 3268 , 1200
Arbol , 3246 , 1064
Arbol , 3490 , 1023
Arbol , 3490 , 1125
HS , 4430 , 1688
HS , 4556 , 1608
ArbolF , 4798 , 1690
ArbolF , 4748 , 1859
ArbolF , 5174 , 1546
ArbolF , 5308 , 701
ArbolF , 5510 , 535
Escondite , 6184 , 1571
HS , 6300 , 2271
ArbolF , 6736 , 1908
Escondite , 7356 , 2167
ArbolF , 8312 , 1604
ArbolF , 8556 , 1379
Piedra , 8276 , 1198
Madera , 8276 , 1296
ArbolF , 7422 , 731
Escondite , 6350 , 826
ArbolF , 4840 , 1007
Cabania , 7969 , 1273
Lobo , 5164 , 7690
Lobo , 3996 , 6224
Lobo , 3670 , 7202
ObsPiedra , 4805 , 3971
Arbol , 4940 , 3708
Arbol , 4940 , 3734
Arbol , 4940 , 3766
Arbol , 4936 , 3790
Arbol , 4936 , 3820
Arbol , 4318 , 4098
Arbol , 4292 , 4056
Lobo , 6630 , 1517
Lobo , 6584 , 2172
Lobo , 4598 , 3254
Lobo , 4182 , 2853
Arbol , 2874 , 1247
ObsNieve , 2977 , 1327
