0,0,60,230,231,232,400,11,12,13,1,11,12,13,380,150,151,152,60,70,71,72,60,130,131,132,120,11,12,13,1,11,12,13,1,90,91,92,80,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,220,110,111,112,1,11,12,13,1,11,12,13,1,11,12,13,380,170,171,172,999,
0,61,62,233,234,401,402,14,15,2,3,14,15,381,382,153,154,61,62,73,74,61,62,133,134,121,122,14,15,2,3,14,15,2,3,93,94,81,82,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,221,222,113,114,2,3,14,15,2,3,14,15,2,3,14,15,381,382,173,174,0,999,
0,63,64,65,235,403,404,405,16,4,5,6,16,383,384,385,155,63,64,65,75,63,64,65,135,123,124,125,16,4,5,6,16,4,5,6,95,83,84,85,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,223,224,225,115,4,5,6,16,4,5,6,16,4,5,6,16,383,384,385,175,0,999,
66,67,68,69,406,407,408,409,7,8,9,10,386,387,388,389,66,67,68,69,66,67,68,69,126,127,128,129,7,8,9,10,7,8,9,10,86,87,88,89,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,226,227,228,229,7,8,9,10,7,8,9,10,7,8,9,10,386,387,388,389,0,0,999,
0,70,71,72,220,410,411,412,1,11,12,13,1,390,391,392,160,70,71,72,60,70,71,72,60,130,131,132,120,11,12,13,1,11,12,13,1,90,91,92,80,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,230,231,232,400,11,12,13,1,11,12,13,1,11,12,13,1,390,391,392,160,0,999,
0,73,74,221,222,413,414,2,3,14,15,2,3,393,394,161,162,73,74,61,62,73,74,61,62,133,134,121,122,14,15,2,3,14,15,2,3,93,94,81,82,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,233,234,401,402,14,15,2,3,14,15,2,3,14,15,2,3,393,394,161,162,0,999,
0,0,75,223,224,225,415,4,5,6,16,4,5,6,395,163,164,165,75,63,64,65,75,63,64,65,135,123,124,125,16,4,5,6,16,4,5,6,95,83,84,85,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,235,403,404,405,16,4,5,6,16,4,5,6,16,4,5,6,395,163,164,165,999,
0,0,226,227,228,229,7,8,9,10,7,8,9,10,166,167,168,169,66,67,68,69,66,67,68,69,126,127,128,129,7,8,9,10,7,8,9,10,86,87,88,89,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,406,407,408,409,7,8,9,10,7,8,9,10,7,8,9,10,166,167,168,169,999,
0,0,60,230,231,232,400,11,12,13,1,11,12,13,140,170,171,172,60,70,71,72,60,70,71,72,60,130,131,132,120,11,12,13,1,11,12,13,1,90,91,92,80,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,220,410,411,412,1,11,12,13,1,11,12,13,1,11,12,13,380,170,171,172,999,
0,61,62,233,234,401,402,14,15,2,3,14,15,141,142,173,174,61,62,73,74,61,62,73,74,61,62,133,134,121,122,14,15,2,3,14,15,2,3,93,94,81,82,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,221,222,413,414,2,3,14,15,2,3,14,15,2,3,14,15,381,382,173,174,0,999,
