0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,999,
0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,61,62,0,0,0,999,
0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,63,64,65,0,0,999,
66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,0,0,999,
0,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,0,999,
0,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,0,999,
0,0,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,75,63,64,65,999,
0,0,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,999,
0,0,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,60,70,71,72,999,
0,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,61,62,73,74,0,999,
