0,0,1220,0,0,0,1220,0,0,0,1220,0,0,0,999,
0,1221,1222,0,0,1221,1222,0,0,1221,1222,0,0,0,999,
0,1223,1224,1225,0,1223,1224,1225,0,1223,1224,1225,0,0,999,
1226,1227,1228,1229,1226,1227,1228,1229,1226,1227,1228,1229,0,0,999,
0,1230,1231,1232,1220,1230,1231,1232,1220,1230,1231,1232,1220,0,999,
0,1233,1234,1221,1222,1233,1234,1221,1222,1233,1234,1221,1222,0,999,
0,0,1235,1223,1224,1225,1235,1223,1224,1225,1235,1223,1224,1225,999,
0,0,1226,1227,1228,1229,1226,1227,1228,1229,1226,1227,1228,1229,999,
0,0,1220,1230,1231,1232,1220,1230,1231,1232,1220,1230,1231,1232,999,
0,1221,1222,1233,1234,1221,1222,1233,1234,1221,1222,1233,1234,0,999,
0,1223,1224,1225,1235,1223,1224,1225,1235,1223,1224,1225,1235,0,999,
1226,1227,1228,1229,1226,1227,1228,1229,1226,1227,1228,1229,0,0,999,
0,1230,1231,1232,1220,1230,1231,1232,1220,1230,1231,1232,1220,0,999,
0,1233,1234,1221,1222,1233,1234,1221,1222,1233,1234,1221,1222,0,999,
0,0,1235,1223,1224,1225,1235,1223,1224,1225,1235,1223,1224,1225,999,
0,0,1226,1227,1228,1229,1226,1227,1228,1229,1226,1227,1228,1229,999,
0,0,1220,1230,1231,1232,1220,1230,1231,1232,1220,1230,1231,1232,999,
0,1221,1222,1233,1234,1221,1222,1233,1234,1221,1222,1233,1234,0,999,
0,1223,1224,1225,1235,1223,1224,1225,1235,1223,1224,1225,1235,0,999,
1226,1227,1228,1229,1226,1227,1228,1229,1226,1227,1228,1229,0,0,999,
0,1230,1231,1232,1220,1230,1231,1232,1220,1230,1231,1232,1220,0,999,
0,1233,1234,1221,1222,1233,1234,1221,1222,1233,1234,1221,1222,0,999,
0,0,1235,1223,1224,1225,1235,1223,1224,1225,1235,1223,1224,1225,999,
0,0,1226,1227,1228,1229,1226,1227,1228,1229,1226,1227,1228,1229,999,
0,0,1220,1230,1231,1232,1140,1230,1231,1232,1220,1230,1231,1232,999,
0,1221,1222,1233,1234,1141,1142,1233,1234,1221,1222,1233,1234,0,999,
0,1223,1224,1225,1235,1143,1144,1145,1235,1223,1224,1225,1235,0,999,
1226,1227,1228,1229,1146,1147,1148,1149,1226,1227,1228,1229,0,0,999,
0,1230,1231,1232,1220,1150,1151,1152,1220,1230,1231,1232,1220,0,999,
0,1233,1234,1221,1222,1153,1154,1221,1222,1233,1234,1221,1222,0,999,
0,0,1235,1223,1224,1225,1155,1223,1224,1225,1235,1223,1224,1225,999,
0,0,1226,1227,1228,1229,1226,1227,1228,1229,1226,1227,1228,1229,999,
0,0,1220,1230,1231,1232,1220,1230,1231,1232,1220,1230,1231,1232,999,
0,1221,1222,1233,1234,1221,1222,1233,1234,1221,1222,1233,1234,0,999,
0,1223,1224,1225,1235,1223,1224,1225,1235,1223,1224,1225,1235,0,999,
1226,1227,1228,1229,1226,1227,1228,1229,1226,1227,1228,1229,0,0,999,
0,1230,1231,1232,1220,1230,1231,1232,1220,1230,1231,1232,1220,0,999,
0,1233,1234,1221,1222,1233,1234,1221,1222,1233,1234,1221,1222,0,999,
0,0,1235,1223,1224,1225,1235,1223,1224,1225,1235,1223,1224,1225,999,
0,0,1226,1227,1228,1229,1226,1227,1228,1229,1226,1227,1228,1229,999,
